Fecha;Hora;name;stationId;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura
2026-01-05;14:24;Centro de Alto Rendimiento;5;66.0;1.8;64.0;564.0;2.5;;346.0;17.0
2026-01-05;14:24;Las Ferias;6;65.0;1.7;;563.0;1.9;;24.0;16.4
2026-01-05;14:24;Guaymaral;8;79.0;2.0;10.0;563.0;23.4;11.7;128.0;12.2
2026-01-05;14:24;Kennedy;9;58.4;4.0;740.0;;0.0;;294.0;
2026-01-05;14:24;Suba;11;;1.6;;;0.0;;62.0;17.1
2026-01-05;14:24;Puente Aranda;13;70.0;3.7;388.0;562.0;0.0;;265.0;18.2
2026-01-05;14:24;MinAmbiente;17;;-9999.0;;;17.9;;-9999.0;
2026-01-05;14:24;San Cristobal;24;65.0;0.8;95.0;;7.9;;83.0;16.3
2026-01-05;14:24;Movil 7ma;26;58.8;0.6;16.0;561.0;30.7;;214.0;17.6
2026-01-05;14:24;Bolivia;27;72.0;3.3;258.0;564.0;0.0;;293.0;17.0
2026-01-05;14:24;Fontibon;30;61.0;5.6;;563.0;0.0;;270.0;18.4
2026-01-05;14:24;Usme;32;;;104.0;561.0;0.0;;;18.6
2026-01-05;14:24;Jazmin;34;67.0;3.8;221.0;563.0;0.0;;284.0;18.3
2026-01-05;14:24;Ciudad Bolivar;37;;;660.0;556.0;0.0;;;17.1
2026-01-05;14:24;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;14:24;Movil Fontibon;39;;;810.0;564.0;;;;19.1
2026-01-05;15:31;Usaquen;1;;1.3;;;0.6;;131.0;12.7
2026-01-05;15:31;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;15:31;Tunal;4;70.0;2.4;23.0;562.0;0.3;;323.0;
2026-01-05;15:31;Centro de Alto Rendimiento;5;86.0;1.0;36.0;564.0;4.0;;162.0;13.2
2026-01-05;15:31;Las Ferias;6;80.0;0.5;;563.0;0.0;;81.0;13.7
2026-01-05;15:31;Guaymaral;8;86.0;0.8;14.0;563.0;0.0;12.9;232.0;13.2
2026-01-05;15:31;Kennedy;9;56.5;1.7;280.0;;1.3;;288.0;
