Fecha;Hora;name;stationId;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura;Humedad
2025-10-27;11:31;Tunal;4;1.5;601.0;563.0;0.0;;201.0;;45.0
2025-10-27;11:31;Centro de Alto Rendimiento;5;1.1;482.0;565.0;0.0;;160.0;19.1;44.0
2025-10-27;11:31;Las Ferias;6;2.9;;564.0;0.0;;50.0;21.1;42.0
2025-10-27;11:31;Guaymaral;8;1.9;337.0;564.0;0.0;18.5;347.0;19.8;53.0
2025-10-27;11:31;Kennedy;9;1.1;360.0;;0.0;;190.0;;46.3
2025-10-27;11:31;Suba;11;2.0;;;0.0;;358.0;19.5;
2025-10-27;11:31;Puente Aranda;13;1.5;339.0;564.0;0.0;;193.0;19.3;51.0
2025-10-27;11:31;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;11:31;San Cristobal;24;1.9;353.0;;0.0;;121.0;18.3;49.0
2025-10-27;11:31;Movil 7ma;26;0.3;339.0;562.0;0.0;;165.0;21.5;40.1
2025-10-27;11:31;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;11:31;Fontibon;30;0.3;;564.0;0.0;;162.0;18.8;49.0
2025-10-27;11:31;Usme;32;;495.0;562.0;0.0;;;19.1;
2025-10-27;11:31;Jazmin;34;1.1;716.0;564.0;0.0;;157.0;18.1;57.0
2025-10-27;11:31;Ciudad Bolivar;37;;690.0;558.0;0.0;;;18.9;
2025-10-27;11:31;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;11:31;Movil Fontibon;39;;207.0;565.0;;;;18.5;
2025-10-27;12:20;Usaquen;1;1.0;;;0.0;;154.0;20.8;
2025-10-27;12:20;Carvajal - Sevillana;3;1.5;;;0.0;;15.0;22.9;
2025-10-27;12:20;Tunal;4;1.6;724.0;563.0;0.0;;241.0;;38.0
2025-10-27;12:20;Centro de Alto Rendimiento;5;1.3;326.0;564.0;0.0;;166.0;18.6;45.0
2025-10-27;12:20;Las Ferias;6;1.4;;563.0;0.0;;110.0;21.3;41.0
2025-10-27;12:20;Guaymaral;8;1.5;191.0;563.0;0.0;19.4;332.0;20.3;47.0
2025-10-27;12:20;Kennedy;9;2.2;365.0;;0.0;;280.0;;52.1
2025-10-27;12:20;Suba;11;1.6;;;0.0;;9.0;20.8;
2025-10-27;12:20;Puente Aranda;13;1.7;441.0;563.0;0.0;;207.0;20.0;49.0
2025-10-27;12:20;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;12:20;San Cristobal;24;2.0;298.0;;0.0;;105.0;18.8;49.0
2025-10-27;12:20;Movil 7ma;26;1.3;287.0;562.0;0.0;;169.0;21.0;41.0
2025-10-27;12:20;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;12:20;Fontibon;30;1.4;;564.0;0.0;;96.0;19.7;44.0
2025-10-27;12:20;Usme;32;;811.0;562.0;0.0;;;20.5;
2025-10-27;12:20;Jazmin;34;1.1;716.0;564.0;0.0;;157.0;18.1;57.0
2025-10-27;12:20;Ciudad Bolivar;37;;797.0;557.0;0.0;;;19.5;
2025-10-27;12:20;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;12:20;Movil Fontibon;39;;476.0;564.0;;;;19.8;
2025-10-27;13:34;Usaquen;1;1.1;;;0.0;;100.0;21.6;
2025-10-27;13:34;Carvajal - Sevillana;3;3.6;;;0.0;;22.0;22.4;
2025-10-27;13:34;Tunal;4;2.7;787.0;562.0;0.0;;296.0;;43.0
2025-10-27;13:34;Centro de Alto Rendimiento;5;1.4;409.0;564.0;0.0;;104.0;19.6;43.0
2025-10-27;13:34;Las Ferias;6;1.1;;563.0;0.0;;90.0;22.7;38.0
2025-10-27;13:34;Guaymaral;8;1.4;419.0;563.0;0.0;20.7;351.0;22.1;46.0
2025-10-27;13:34;Kennedy;9;2.9;512.0;;0.0;;286.0;;55.1
2025-10-27;13:34;Suba;11;2.1;;;0.0;;17.0;21.2;
2025-10-27;13:34;Puente Aranda;13;1.6;561.0;562.0;0.0;;272.0;20.7;55.0
2025-10-27;13:34;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;13:34;San Cristobal;24;2.3;492.0;;0.0;;113.0;20.0;45.0
2025-10-27;13:34;Movil 7ma;26;0.7;384.0;561.0;0.0;;129.0;22.9;38.5
2025-10-27;13:34;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;13:34;Fontibon;30;3.4;;563.0;0.0;;245.0;19.4;53.0
2025-10-27;13:34;Usme;32;;391.0;561.0;0.0;;;20.5;
2025-10-27;13:34;Jazmin;34;-9999.0;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0
2025-10-27;13:34;Ciudad Bolivar;37;;191.0;556.0;0.0;;;17.5;
2025-10-27;13:34;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;13:34;Movil Fontibon;39;;287.0;564.0;;;;19.6;
2025-10-27;14:19;Usaquen;1;1.7;;;0.0;;117.0;19.2;
2025-10-27;14:19;Carvajal - Sevillana;3;4.2;;;0.0;;15.0;19.5;
2025-10-27;14:19;Tunal;4;4.0;570.0;561.0;0.0;;284.0;;59.0
2025-10-27;14:19;Centro de Alto Rendimiento;5;3.2;90.0;563.0;6.6;;297.0;16.5;63.0
2025-10-27;14:19;Las Ferias;6;2.2;;562.0;0.0;;212.0;20.3;51.0
2025-10-27;14:19;Guaymaral;8;1.8;140.0;562.0;0.1;19.7;109.0;20.4;45.0
2025-10-27;14:19;Kennedy;9;4.0;456.0;;0.0;;280.0;;64.9
2025-10-27;14:19;Suba;11;1.4;;;0.0;;356.0;22.6;
2025-10-27;14:19;Puente Aranda;13;3.8;406.0;562.0;0.0;;250.0;18.6;73.0
2025-10-27;14:19;MinAmbiente;17;-9999.0;;;0.9;;-9999.0;;
2025-10-27;14:19;San Cristobal;24;1.1;399.0;;0.0;;283.0;20.2;53.0
2025-10-27;14:19;Movil 7ma;26;1.2;71.0;560.0;0.3;;197.0;20.3;50.5
