Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Rad Solar;Presion Baro;Temperatura;Vel Viento;Lluvia;Dir Viento
2025-11-25;09:25;Las Ferias;6;53.0;;;564.0;18.9;1.4;0.0;4.0
2025-11-25;09:25;Guaymaral;8;55.0;18.6;414.0;564.0;20.0;1.6;0.0;126.0
2025-11-25;09:25;Kennedy;9;75.3;;288.0;;;0.8;0.0;158.0
2025-11-25;09:25;Suba;11;;;;;18.1;1.6;0.0;56.0
2025-11-25;09:25;Puente Aranda;13;68.0;;252.0;564.0;17.3;1.1;0.1;210.0
2025-11-25;09:25;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;09:25;San Cristobal;24;58.0;;392.0;;16.9;1.4;0.0;153.0
2025-11-25;09:25;Movil 7ma;26;50.7;;595.0;562.0;16.0;0.4;0.0;89.0
2025-11-25;09:25;Bolivia;27;71.0;;486.0;565.0;16.6;1.9;0.0;103.0
2025-11-25;09:25;Fontibon;30;60.0;;;565.0;17.6;1.4;0.0;106.0
2025-11-25;09:25;Usme;32;;;406.0;562.0;16.8;;0.0;
2025-11-25;09:25;Jazmin;34;59.0;;600.0;564.0;18.3;1.2;0.0;164.0
2025-11-25;09:25;Ciudad Bolivar;37;;;429.0;558.0;16.8;;0.0;
2025-11-25;09:25;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;09:25;Movil Fontibon;39;;;467.0;565.0;16.8;;;
2025-11-25;10:27;Usaquen;1;;;;;17.8;0.4;0.0;37.0
2025-11-25;10:27;Carvajal - Sevillana;3;;;;;19.6;3.2;0.0;260.0
2025-11-25;10:27;Tunal;4;51.0;;628.0;563.0;;1.6;0.0;188.0
2025-11-25;10:27;Centro de Alto Rendimiento;5;49.0;;373.0;565.0;18.1;1.7;0.0;114.0
2025-11-25;10:27;Las Ferias;6;48.0;;;564.0;19.9;2.9;0.0;38.0
2025-11-25;10:27;Guaymaral;8;54.0;17.7;225.0;564.0;18.7;1.7;0.0;103.0
2025-11-25;10:27;Kennedy;9;58.5;;210.0;;;1.6;0.0;185.0
2025-11-25;10:27;Suba;11;;;;;19.7;2.4;0.0;28.0
2025-11-25;10:27;Puente Aranda;13;56.0;;507.0;564.0;18.9;1.6;0.0;73.0
2025-11-25;10:27;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;10:27;San Cristobal;24;52.0;;647.0;;19.0;2.2;0.0;144.0
2025-11-25;10:27;Movil 7ma;26;40.8;;599.0;562.0;6.3;1.5;0.0;174.0
2025-11-25;10:27;Bolivia;27;65.0;;745.0;565.0;18.0;2.3;0.0;99.0
2025-11-25;10:27;Fontibon;30;50.0;;;564.0;19.0;2.4;0.0;71.0
2025-11-25;10:27;Usme;32;;;237.0;562.0;16.9;;0.0;
2025-11-25;10:27;Jazmin;34;52.0;;422.0;564.0;19.2;1.3;0.0;180.0
2025-11-25;10:27;Ciudad Bolivar;37;;;456.0;558.0;17.3;;0.0;
2025-11-25;10:27;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;10:27;Movil Fontibon;39;;;652.0;565.0;19.2;;;
2025-11-25;11:33;Usaquen;1;;;;;18.6;0.3;0.0;218.0
2025-11-25;11:33;Carvajal - Sevillana;3;;;;;20.9;4.7;0.0;256.0
2025-11-25;11:33;Tunal;4;52.0;;695.0;563.0;;1.9;0.0;185.0
2025-11-25;11:33;Centro de Alto Rendimiento;5;49.0;;599.0;565.0;18.9;1.8;0.0;135.0
2025-11-25;11:33;Las Ferias;6;47.0;;;564.0;20.4;2.1;0.0;94.0
2025-11-25;11:33;Guaymaral;8;56.0;17.6;118.0;564.0;18.2;1.6;0.0;115.0
2025-11-25;11:33;Kennedy;9;53.6;;509.0;;;1.4;0.0;181.0
2025-11-25;11:33;Suba;11;;;;;20.2;2.2;0.0;55.0
2025-11-25;11:33;Puente Aranda;13;55.0;;376.0;563.0;19.2;2.4;0.0;130.0
2025-11-25;11:33;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;11:33;San Cristobal;24;54.0;;579.0;;18.6;2.2;0.0;112.0
2025-11-25;11:33;Movil 7ma;26;43.5;;767.0;562.0;15.5;1.0;0.0;255.0
2025-11-25;11:33;Bolivia;27;65.0;;397.0;565.0;18.4;2.4;0.0;98.0
2025-11-25;11:33;Fontibon;30;48.0;;;564.0;19.2;3.1;0.0;84.0
2025-11-25;11:33;Usme;32;;;290.0;562.0;17.3;;0.0;
2025-11-25;11:33;Jazmin;34;54.0;;397.0;564.0;18.9;3.0;0.0;151.0
2025-11-25;11:33;Ciudad Bolivar;37;;;576.0;557.0;17.8;;0.0;
2025-11-25;11:33;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;11:33;Movil Fontibon;39;;;501.0;564.0;19.5;;;
2025-11-25;12:24;Usaquen;1;;;;;19.7;2.0;0.0;150.0
2025-11-25;12:24;Carvajal - Sevillana;3;;;;;20.6;4.3;0.0;249.0
2025-11-25;12:24;Tunal;4;48.0;;595.0;563.0;;1.7;0.0;186.0
2025-11-25;12:24;Centro de Alto Rendimiento;5;49.0;;673.0;564.0;19.3;2.0;0.0;167.0
2025-11-25;12:24;Las Ferias;6;45.0;;;563.0;21.4;3.1;0.0;59.0
2025-11-25;12:24;Guaymaral;8;55.0;19.0;402.0;563.0;20.2;2.0;0.0;84.0
2025-11-25;12:24;Kennedy;9;41.7;;694.0;;;1.9;0.0;186.0
2025-11-25;12:24;Suba;11;;;;;20.2;2.6;0.0;29.0
2025-11-25;12:24;Puente Aranda;13;56.0;;522.0;563.0;19.3;2.6;0.0;162.0
2025-11-25;12:24;MinAmbiente;17;;;;;;-9999.0;0.1;-9999.0
2025-11-25;12:24;San Cristobal;24;55.0;;481.0;;18.6;2.4;0.0;108.0
2025-11-25;12:24;Movil 7ma;26;42.1;;896.0;562.0;-69.9;1.7;0.0;279.0
2025-11-25;12:24;Bolivia;27;64.0;;528.0;564.0;18.8;2.3;0.0;80.0
2025-11-25;12:24;Fontibon;30;46.0;;;564.0;20.3;3.3;0.0;134.0
2025-11-25;12:24;Usme;32;;;274.0;562.0;17.6;;0.0;
2025-11-25;12:24;Jazmin;34;54.0;;533.0;563.0;19.2;2.8;0.0;141.0
2025-11-25;12:24;Ciudad Bolivar;37;;;573.0;557.0;18.1;;0.0;
2025-11-25;12:24;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;12:24;Movil Fontibon;39;;;652.0;564.0;20.3;;;
2025-11-25;13:37;Usaquen;1;;;;;18.9;2.9;0.0;126.0
2025-11-25;13:37;Carvajal - Sevillana;3;;;;;21.7;3.6;0.0;248.0
2025-11-25;13:37;Tunal;4;47.0;;604.0;562.0;;1.5;0.0;189.0
2025-11-25;13:37;Centro de Alto Rendimiento;5;47.0;;509.0;564.0;19.5;1.5;0.0;136.0
2025-11-25;13:37;Las Ferias;6;47.0;;;563.0;20.2;3.7;0.0;50.0
2025-11-25;13:37;Guaymaral;8;55.0;18.2;162.0;563.0;18.7;2.0;0.2;108.0
2025-11-25;13:37;Kennedy;9;42.8;;693.0;;;2.1;0.0;197.0
2025-11-25;13:37;Suba;11;;;;;20.1;2.9;0.0;65.0
2025-11-25;13:37;Puente Aranda;13;55.0;;551.0;563.0;19.6;2.6;0.0;154.0
2025-11-25;13:37;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;13:37;San Cristobal;24;58.0;;271.0;;17.6;2.3;0.0;115.0
2025-11-25;13:37;Movil 7ma;26;39.5;;561.0;561.0;-70.7;0.8;0.0;270.0
2025-11-25;13:37;Bolivia;27;62.0;;382.0;564.0;19.2;2.6;0.0;104.0
2025-11-25;13:37;Fontibon;30;48.0;;;563.0;19.8;3.5;0.0;160.0
2025-11-25;13:37;Usme;32;;;440.0;561.0;18.5;;0.0;
2025-11-25;13:37;Jazmin;34;53.0;;714.0;563.0;19.8;2.9;0.0;149.0
2025-11-25;13:37;Ciudad Bolivar;37;;;721.0;556.0;19.0;;0.0;
2025-11-25;13:37;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;13:37;Movil Fontibon;39;;;647.0;564.0;20.8;;;
2025-11-25;14:20;Usaquen;1;;;;;16.8;2.1;0;113
2025-11-25;14:20;Carvajal - Sevillana;3;;;;;21.8;3.6;0;240
2025-11-25;14:20;Tunal;4;49;;474;562;;2.2;0;159
2025-11-25;14:20;Centro de Alto Rendimiento;5;55;;306;563;17.3;2.7;0;88
2025-11-25;14:20;Las Ferias;6;56;;;562;18.5;4.1;0;45
2025-11-25;14:20;Guaymaral;8;59;17.2;156;562;17.6;2.1;0.1;119
2025-11-25;14:20;Kennedy;9;43.8;;213;;;1.3;0.1;163
2025-11-25;14:20;Suba;11;;;;;17.8;2.8;0.8;80
2025-11-25;14:20;Puente Aranda;13;58;;325;562;19.2;2.8;0;144
2025-11-25;14:20;MinAmbiente;17;;;;;;-9999;0;-9999
2025-11-25;14:20;San Cristobal;24;59;;243;;17.5;2;0;109
2025-11-25;14:20;Movil 7ma;26;43.9;;409;561;14.5;0.9;0;226
2025-11-25;14:20;Bolivia;27;74;;254;563;17.3;3;0.2;82
2025-11-25;14:20;Fontibon;30;55;;;563;18.5;4.4;0;91
2025-11-25;14:20;Usme;32;;;293;561;17.9;;0;
2025-11-25;14:20;Jazmin;34;54;;521;562;19.7;2.9;0;141
2025-11-25;14:20;Ciudad Bolivar;37;;;400;556;18;;0;
2025-11-25;14:20;Colina;38;;;53;562;14.8;0.9;0.3;271
2025-11-25;14:20;Movil Fontibon;39;;;148;563;18.9;;;
