Fecha;Hora;name;stationId;Lluvia;Temperatura 8M;Vel Viento;Humedad;Temperatura;Rad Solar;Dir Viento;Presion Baro
2025-10-02;14:17;Las Ferias;6;0.0;;;35.0;22.2;;;564.0
2025-10-02;14:17;Guaymaral;8;0.0;21.3;2.5;35.0;22.4;652.0;102.0;564.0
2025-10-02;14:17;Kennedy;9;0.0;;1.9;28.9;;826.0;182.0;
2025-10-02;14:17;Suba;11;0.0;;2.6;;21.7;;113.0;
2025-10-02;14:17;Puente Aranda;13;0.0;;3.6;41.0;20.2;749.0;179.0;564.0
2025-10-02;14:17;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;14:17;San Cristobal;24;0.0;;2.0;38.0;20.7;730.0;177.0;
2025-10-02;14:17;Movil 7ma;26;0.0;;1.1;33.8;22.1;374.0;214.0;562.0
2025-10-02;14:17;Bolivia;27;0.0;;2.8;49.0;20.1;787.0;128.0;565.0
2025-10-02;14:17;Fontibon;30;0.0;;2.4;37.0;20.0;;158.0;564.0
2025-10-02;14:17;Usme;32;0.0;;;;19.1;539.0;;562.0
2025-10-02;14:17;Jazmin;34;0.0;;3.1;38.0;20.6;896.0;155.0;564.0
2025-10-02;14:17;Ciudad Bolivar;37;0.0;;;;19.2;804.0;;558.0
2025-10-02;14:17;Colina;38;0.0;;1.8;;19.7;414.0;165.0;564.0
2025-10-02;14:17;Movil Fontibon;39;;;;;21.0;691.0;;565.0
2025-10-02;15:24;Usaquen;1;0.0;;3.4;;18.4;;136.0;
2025-10-02;15:24;Carvajal - Sevillana;3;0.0;;4.1;;22.4;;248.0;
2025-10-02;15:24;Tunal;4;0.0;;2.5;32.0;;901.0;161.0;563.0
2025-10-02;15:24;Centro de Alto Rendimiento;5;0.0;;2.2;40.0;18.9;425.0;163.0;564.0
2025-10-02;15:24;Las Ferias;6;0.0;;;35.0;22.3;;;563.0
2025-10-02;15:24;Guaymaral;8;0.0;20.0;2.4;39.0;21.0;312.0;101.0;563.0
2025-10-02;15:24;Kennedy;9;0.0;;2.0;29.1;;788.0;189.0;
2025-10-02;15:24;Suba;11;0.0;;3.0;;21.6;;90.0;
2025-10-02;15:24;Puente Aranda;13;0.0;;2.9;42.0;20.2;516.0;171.0;563.0
2025-10-02;15:24;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;15:24;San Cristobal;24;0.0;;2.0;37.0;20.7;576.0;135.0;
