Fecha;Hora;name;stationId;Dir Viento;Humedad;Rad Solar;Temperatura 8M;Temperatura;Vel Viento;Presion Baro;Lluvia
2025-11-07;07:49;Las Ferias;6;338.0;76.0;;;12.3;0.5;564.0;0.0
2025-11-07;07:49;Guaymaral;8;326.0;86.0;42.0;10.9;10.0;0.4;564.0;0.0
2025-11-07;07:49;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;07:49;Suba;11;14.0;;;;8.9;0.9;;0.0
2025-11-07;07:49;Puente Aranda;13;212.0;86.0;78.0;;12.5;0.8;564.0;0.0
2025-11-07;07:49;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;07:49;San Cristobal;24;111.0;79.0;19.0;;9.4;1.1;;0.0
2025-11-07;07:49;Movil 7ma;26;198.0;69.5;21.0;;10.0;0.7;563.0;0.0
2025-11-07;07:49;Bolivia;27;21.0;91.0;123.0;;10.2;0.9;565.0;0.1
2025-11-07;07:49;Fontibon;30;5.0;89.0;;;11.1;0.9;565.0;0.0
2025-11-07;07:49;Usme;32;;;85.0;;11.4;;562.0;0.0
2025-11-07;07:49;Jazmin;34;255.0;86.0;136.0;;12.1;0.4;564.0;0.0
2025-11-07;07:49;Ciudad Bolivar;37;;;92.0;;11.1;;558.0;0.0
2025-11-07;07:49;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;07:49;Movil Fontibon;39;;;118.0;;10.8;;565.0;
2025-11-07;08:31;Usaquen;1;16.0;;;;14.1;1.1;;0.0
2025-11-07;08:31;Carvajal - Sevillana;3;78.0;;;;17.2;0.9;;0.0
2025-11-07;08:31;Tunal;4;143.0;56.0;380.0;;;1.5;564.0;0.0
2025-11-07;08:31;Centro de Alto Rendimiento;5;55.0;81.0;274.0;;12.6;1.2;566.0;0.0
2025-11-07;08:31;Las Ferias;6;16.0;64.0;;;15.3;1.7;565.0;0.0
2025-11-07;08:31;Guaymaral;8;339.0;81.0;241.0;15.0;16.4;0.9;565.0;0.0
2025-11-07;08:31;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;08:31;Suba;11;7.0;;;;11.7;1.6;;0.0
2025-11-07;08:31;Puente Aranda;13;20.0;79.0;193.0;;14.6;1.3;564.0;0.0
2025-11-07;08:31;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;08:31;San Cristobal;24;19.0;70.0;86.0;;12.4;0.9;;0.0
2025-11-07;08:31;Movil 7ma;26;211.0;67.7;216.0;;11.6;1.0;563.0;0.0
2025-11-07;08:31;Bolivia;27;61.0;82.0;382.0;;12.8;1.6;566.0;0.0
2025-11-07;08:31;Fontibon;30;28.0;78.0;;;13.5;2.5;565.0;0.0
2025-11-07;08:31;Usme;32;;;358.0;;15.3;;563.0;0.0
2025-11-07;08:31;Jazmin;34;20.0;71.0;381.0;;14.9;1.1;565.0;0.0
2025-11-07;08:31;Ciudad Bolivar;37;;;318.0;;13.2;;558.0;0.0
2025-11-07;08:31;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;08:31;Movil Fontibon;39;;;363.0;;13.3;;565.0;
2025-11-07;09:23;Usaquen;1;355.0;;;;17.3;0.9;;0.0
2025-11-07;09:23;Carvajal - Sevillana;3;119.0;;;;20.1;1.7;;0.0
2025-11-07;09:23;Tunal;4;95.0;49.0;636.0;;;1.6;564.0;0.0
2025-11-07;09:23;Centro de Alto Rendimiento;5;35.0;54.0;504.0;;17.2;0.4;566.0;0.0
2025-11-07;09:23;Las Ferias;6;11.0;49.0;;;19.1;1.1;565.0;0.0
2025-11-07;09:23;Guaymaral;8;323.0;59.0;442.0;17.7;19.0;1.0;565.0;0.0
2025-11-07;09:23;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;09:23;Suba;11;358.0;;;;16.3;1.3;;0.0
2025-11-07;09:23;Puente Aranda;13;47.0;70.0;425.0;;16.3;1.4;565.0;0.0
2025-11-07;09:23;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;09:23;San Cristobal;24;40.0;60.0;216.0;;15.4;1.3;;0.0
2025-11-07;09:23;Movil 7ma;26;183.0;51.7;604.0;;-6.3;0.9;563.0;0.0
2025-11-07;09:23;Bolivia;27;73.0;70.0;631.0;;15.5;1.2;566.0;0.0
2025-11-07;09:23;Fontibon;30;52.0;59.0;;;16.9;1.6;565.0;0.0
