Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Presion Baro;Temperatura 8M;Lluvia;Rad Solar;Vel Viento
2025-12-22;11:32;Jazmin;34;18.9;295.0;51.0;563.0;;0.0;430.0;1.8
2025-12-22;11:32;Ciudad Bolivar;37;17.4;;;557.0;;0.0;424.0;
2025-12-22;11:32;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;11:32;Movil Fontibon;39;18.5;;;564.0;;;284.0;
2025-12-22;12:22;Usaquen;1;19.1;130.0;;;;0.0;;1.6
2025-12-22;12:22;Carvajal - Sevillana;3;21.5;23.0;;;;0.0;;3.2
2025-12-22;12:22;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;12:22;Centro de Alto Rendimiento;5;20.0;11.0;49.0;564.0;;0.0;163.0;1.1
2025-12-22;12:22;Las Ferias;6;19.9;41.0;44.0;563.0;;0.0;;1.8
2025-12-22;12:22;Guaymaral;8;20.6;347.0;47.0;563.0;19.7;0.0;206.0;1.3
2025-12-22;12:22;Kennedy;9;;292.0;55.1;;;0.0;396.0;2.8
2025-12-22;12:22;Suba;11;21.2;9.0;;;;0.0;;1.6
2025-12-22;12:22;Puente Aranda;13;19.0;283.0;59.0;563.0;;0.0;268.0;1.8
2025-12-22;12:22;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;12:22;San Cristobal;24;17.9;110.0;47.0;;;0.0;113.0;1.3
2025-12-22;12:22;Movil 7ma;26;21.3;180.0;39.9;561.0;;0.0;206.0;1.0
2025-12-22;12:22;Bolivia;27;18.7;87.0;60.0;564.0;;0.0;175.0;1.1
2025-12-22;12:22;Fontibon;30;18.9;275.0;52.0;564.0;;0.0;;2.4
2025-12-22;12:22;Usme;32;19.0;;;561.0;;0.0;311.0;
2025-12-22;12:22;Jazmin;34;19.0;285.0;56.0;563.0;;0.0;324.0;2.2
2025-12-22;12:22;Ciudad Bolivar;37;17.4;;;557.0;;0.0;593.0;
2025-12-22;12:22;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;12:22;Movil Fontibon;39;18.8;;;564.0;;;384.0;
2025-12-22;13:37;Usaquen;1;20.6;215.0;;;;0.0;;0.3
2025-12-22;13:37;Carvajal - Sevillana;3;22.4;24.0;;;;0.0;;3.8
2025-12-22;13:37;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;13:37;Centro de Alto Rendimiento;5;19.6;320.0;56.0;564.0;;0.0;254.0;3.7
2025-12-22;13:37;Las Ferias;6;20.8;216.0;45.0;563.0;;0.0;;2.3
2025-12-22;13:37;Guaymaral;8;21.6;20.0;42.0;563.0;20.5;0.0;270.0;1.2
2025-12-22;13:37;Kennedy;9;;288.0;58.7;;;0.0;600.0;3.2
2025-12-22;13:37;Suba;11;21.2;320.0;;;;0.0;;1.1
2025-12-22;13:37;Puente Aranda;13;18.6;259.0;67.0;563.0;;0.0;271.0;2.4
2025-12-22;13:37;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;13:37;San Cristobal;24;17.9;127.0;48.0;;;0.0;133.0;0.4
2025-12-22;13:37;Movil 7ma;26;20.5;309.0;45.2;561.0;;0.0;223.0;0.7
2025-12-22;13:37;Bolivia;27;18.5;304.0;67.0;564.0;;0.0;406.0;1.9
2025-12-22;13:37;Fontibon;30;17.6;250.0;67.0;563.0;;0.0;;4.1
2025-12-22;13:37;Usme;32;18.6;;;561.0;;0.0;107.0;
2025-12-22;13:37;Jazmin;34;19.2;273.0;60.0;563.0;;0.0;561.0;2.8
2025-12-22;13:37;Ciudad Bolivar;37;17.7;;;556.0;;0.0;679.0;
2025-12-22;13:37;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;13:37;Movil Fontibon;39;18.0;;;564.0;;;227.0;
2025-12-22;14:21;Usaquen;1;20.0;223.0;;;;0.0;;0.5
2025-12-22;14:21;Carvajal - Sevillana;3;22.1;24.0;;;;0.0;;4.3
2025-12-22;14:21;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;14:21;Centro de Alto Rendimiento;5;21.5;301.0;55.0;563.0;;0.0;742.0;5.1
2025-12-22;14:21;Las Ferias;6;20.5;227.0;52.0;562.0;;0.0;;4.3
2025-12-22;14:21;Guaymaral;8;22.4;250.0;39.0;562.0;21.4;0.0;415.0;1.6
2025-12-22;14:21;Kennedy;9;;284.0;61.2;;;0.0;383.0;3.2
2025-12-22;14:21;Suba;11;23.0;271.0;;;;0.0;;1.5
2025-12-22;14:21;Puente Aranda;13;18.4;257.0;69.0;562.0;;0.0;459.0;3.4
2025-12-22;14:21;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;14:21;San Cristobal;24;17.7;320.0;59.0;;;0.0;76.0;1.3
2025-12-22;14:21;Movil 7ma;26;19.8;296.0;51.4;561.0;;0.0;156.0;1.3
2025-12-22;14:21;Bolivia;27;18.6;273.0;70.0;563.0;;0.0;566.0;2.9
2025-12-22;14:21;Fontibon;30;17.5;245.0;67.0;563.0;;0.0;;5.6
2025-12-22;14:21;Usme;32;19.0;;;561.0;;0.0;166.0;
2025-12-22;14:21;Jazmin;34;18.8;280.0;63.0;562.0;;0.0;393.0;3.3
2025-12-22;14:21;Ciudad Bolivar;37;17.1;;;556.0;;0.0;388.0;
2025-12-22;14:21;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;14:21;Movil Fontibon;39;17.7;;;563.0;;;421.0;
2025-12-22;15:28;Usaquen;1;18.0;230.0;;;;0.0;;2.2
2025-12-22;15:28;Carvajal - Sevillana;3;20.0;8.0;;;;0.0;;4.2
2025-12-22;15:28;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;15:28;Centro de Alto Rendimiento;5;19.5;308.0;59.0;563.0;;0.0;234.0;4.7
2025-12-22;15:28;Las Ferias;6;19.1;215.0;56.0;562.0;;0.0;;4.1
